,Unnamed: 0,star_id,ra,dec,dist,period,time,mag,mag_err
4414,4414,2158,49.479761712539506,-57.14058359834402,123791.632812,0.5700832628808149,56888.339150814805,20.663554,0.286951
4415,4415,2158,49.479761712539506,-57.14058359834402,123791.632812,0.5700832628808149,56888.41194950603,20.234499,0.095144
4416,4416,2158,49.479761712539506,-57.14058359834402,123791.632812,0.5700832628808149,56890.34160029376,20.421022,0.104432
4417,4417,2158,49.479761712539506,-57.14058359834402,123791.632812,0.5700832628808149,56895.3490786911,20.174247,0.219777
4418,4418,2158,49.479761712539506,-57.14058359834402,123791.632812,0.5700832628808149,56924.38462507771,20.039522,0.220048
4465,4465,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55565.28721649572,20.620269,0.187614
4466,4466,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55565.32774521783,20.667361,0.175089
4467,4467,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55566.2861878667,20.709746,0.180609
4468,4468,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55959.20663596038,20.847807,0.164753
4469,4469,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55976.15788473934,20.447119,0.144155
4470,4470,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55977.155062797014,20.692776,0.118848
4471,4471,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,55979.15332097467,20.318236,0.117616
4472,4472,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56680.13247098029,20.528603,0.16377
4473,4473,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56682.21067000413,20.647481,0.187417
4474,4474,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56688.19232884096,20.694857,0.200258
4475,4475,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56694.209787386,20.524215,0.127577
4476,4476,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56711.06558133522,20.586091,0.179523
4477,4477,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56711.149867892265,20.548613,0.141223
4478,4478,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56713.15550296847,20.436357,0.150029
4479,4479,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56715.06691307062,20.381188,0.137316
4480,4480,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56715.15072539309,20.376824,0.146529
4481,4481,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56717.03656207118,20.336461,0.153951
4482,4482,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56719.10560449073,20.55604,0.167705
4483,4483,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56721.014351096,20.519012,0.19927
4484,4484,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56721.09735374246,20.46137,0.146113
4485,4485,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56723.04733920656,20.503496,0.19433
4486,4486,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,56723.13006426208,20.571946,0.154932
4487,4487,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,57017.25563837169,20.675415,0.15199
4488,4488,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,57042.23444583919,20.691333,0.215102
4489,4489,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,57046.22079229634,20.379769,0.181496
4490,4490,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,57069.15596328443,20.394847,0.188893
4491,4491,2954,137.536399920763,18.1454166723292,131670.53125,0.4622564455007509,57404.23426482594,20.758305,0.184455
